feature,converged,duplicated,mean_clr,sd_clr,cv,donor_mean_sd,donor_mean_cv,specificity,frac_signal_top_cluster,frac_donor,frac_rep,frac_concentration
Hu.CD235ab,True,False,-0.7867155248709595,0.13791509539455626,0.17530491141277235,0.013769725171180122,0.017475849528637906,,,2.764423125310655e-05,0.4933361899972508,0.0120516500900784
Hu.CD24,True,False,0.8146253612758784,0.5477580921720986,0.6724049093121673,0.036281053521216126,0.04462789067932126,2.0999597493632427,0.02692256088927234,0.0071622365790037,0.0168953703267225,0.0051745097254144
Hu.CD243,True,False,-0.1877942268114229,0.505669654760417,2.692679446787226,0.021533858387860046,0.11352306020822209,,,0.0019449761212482,6.995979416649397e-05,0.0011464205200144
Hu.CD244,True,False,-0.7853806360363997,0.1411379562921834,0.1797064376382742,0.013624203193118013,0.017320294728969836,,,0.0088357873584358,0.4735258223506119,0.0108759277187145
Hu.CD25,True,False,-0.241384999251634,0.5255909420281984,2.177396870798468,0.01650002590736492,0.06790169807441047,,,0.2725133943183416,0.0004830139179257,0.0001030146025699
Hu.CD252,True,False,-0.5579306054369707,0.38342233487782007,0.6872222658900816,0.011353857966144269,0.020310898049646815,,,0.0031035937488879,0.0187396499526175,0.0012600585419696
Hu.CD253,True,False,-0.08411992922898257,0.5116426057811178,6.082299527242554,0.007417773660708834,0.0885218070541906,,,0.2695233862936608,0.2537721557302702,0.1979158459195842
Hu.CD254,True,False,0.3203218241446561,0.5343536935565923,1.6681776053925077,0.014431107390844593,0.04521124879641502,3.220067781821379,0.04128292027976127,0.3361159262445204,0.1848704438761684,0.0326015411500237
Hu.CD257,True,False,0.9411554492029686,0.44797066883954967,0.47597946674900543,0.02275611668180016,0.02412595981268206,1.4560779913105275,0.01866766655526317,0.3417860745396173,0.2238116900366908,0.0016827020823644
Hu.CD26,True,False,-0.7842490026971589,0.1437953897874029,0.18335425265810645,0.013578734090637385,0.017288470963127436,,,0.000125591994633,0.4611741347624842,0.0102992935966358
