feature,donor,cell_type,concentration,rep,residual,frac_donor,frac_cell_type,frac_concentration,frac_rep,frac_residual,converged,error
Hu.CD197,0.17158775079843533,0.0016935976817746415,0.001328923867868901,0.11027377819302342,0.21670520122740886,0.3420881731286079,0.0033764632631248155,0.00264942652415968,0.21984876630473726,0.4320371707793704,True,
Hu.CD198,0.19831522825177023,0.0004215824388896938,0.008696176617260748,0.11791189145713563,0.25658879468057827,0.3407866519865468,0.0007244510124212272,0.014943587240399079,0.20262084295445262,0.44092446680618036,True,
Hu.CD199,0.11458927489594978,1.3801015287578984e-06,0.00028770898254919475,0.002439581444185912,0.2706578038419332,0.29535164275781284,3.5571850337768527e-06,0.0007415643454349764,0.006287974051987428,0.697615261659731,True,
Hu.CD1a,0.1652213249263432,0.00037268921403255144,0.0010566224996390204,0.10143024389456562,0.20905439793882888,0.34627773795089645,0.0007810975856259629,0.0022145134667461105,0.21258173199661723,0.4381449190001143,False,
Hu.CD1c,0.03184854266507766,0.0027225630323602654,0.01687006803012933,0.01998064082449442,0.04596894783699103,0.2713036530040263,0.02319231068060734,0.1437086503810163,0.1702062446640837,0.39158914127026634,True,
Hu.CD1d,0.0007031295666330667,0.0007627477627562291,0.00010504026132428434,0.00233871143464006,0.14652787610604207,0.004673898081591665,0.00507019683748429,0.0006982318753062255,0.015546066338958317,0.9740116068666596,True,
Hu.CD2,0.024530783001025985,0.013023862204979126,0.013681142951726117,0.018600061813032955,0.1436610711698192,0.1148999379942953,0.06100257622171131,0.06408121896389017,0.0871209838233929,0.6728952829967102,True,
Hu.CD200,4.6457656238444484e-11,0.0032452009853512565,0.0002749154845269129,0.009379736044345896,0.13075794123296436,3.2339112979263427e-10,0.02258980107972945,0.0019136830468231252,0.06529221837987574,0.9102042971701806,True,
Hu.CD201,0.16776539694169784,0.0035344469651653666,0.02133992850868199,0.09349479040724705,0.2244794661334137,0.32855618417818017,0.006921954283924515,0.04179267959461462,0.1831026667997519,0.43962651514352874,False,
Hu.CD202b,0.2151477532888795,0.0006804514653181382,0.0004278059417768991,0.13599020490987307,0.27018822761145916,0.34565528246926763,0.0010932098516286256,0.0006873108428344828,0.21848116920868343,0.43408302762758577,False,
Hu.CD203c,0.13751364212270198,0.0021446480368234595,0.04670988301851964,0.07046851920008129,0.1922067328627974,0.3062368456879694,0.004776037051812525,0.10402085943794531,0.15693029947442846,0.42803595834784436,False,
Hu.CD204,0.10044759966587022,0.009339875751395296,0.024003195463054957,0.055361760307903705,0.1377462232526433,0.3072744359797912,0.028571166092348603,0.07342702436053276,0.16935450652923403,0.4213728670380934,False,
Hu.CD205,0.0006459077396825674,0.004488865102688625,0.00015073343176839435,0.007422275706833669,0.20489847045847895,0.002968240721218651,0.02062838292726735,0.0006926888822293152,0.03410874284919216,0.9416019446200926,True,
Hu.CD206,0.22390753566055915,0.00028160389951169425,0.0030674135250616207,0.13812185633811788,0.2842587878339801,0.3446655096196727,0.000433478718122402,0.004721733204336585,0.21261383572441453,0.4375654427334538,True,
Hu.CD207,4.508953296651825e-08,0.0011413918123726777,0.00031286732757935897,0.004720519280823718,0.2220821927630441,1.9753843146937733e-07,0.00500046759134793,0.0013706800022509702,0.02068071929570211,0.9729479355722676,True,
Hu.CD209,0.19623253548769748,0.0003656284150914021,0.011936434285059378,0.11001701641155405,0.2569346174939838,0.34098563014076444,0.0006353382491209109,0.020741476718981546,0.19117228228268232,0.4464652726084507,True,
Hu.CD20_2H7,0.007775041144433627,0.0015372480887137243,0.003938470031707248,0.009346568075353905,0.008301885022195301,0.2516258684280834,0.049750397216731315,0.12746182606581027,0.30248564156690977,0.26867626672246525,True,
Hu.CD21,8.980887842190663e-06,0.0021799104378119258,0.000234876208715788,0.01030281698173604,0.008967311242325155,0.00041398225298931555,0.10048496877121423,0.010826834024244164,0.47491778777133475,0.41335642718021753,True,
Hu.CD218a,0.20404127207527453,0.00563748849166762,0.028508861104577052,0.11393545840022101,0.2702246342426408,0.3278573494883961,0.00905842242528077,0.045808573645979046,0.18307363517152106,0.43420201926882296,True,
Hu.CD22,0.0001953590159865404,0.002325771625446145,0.00024725660173636875,0.011361968759893041,0.008943681024496964,0.008466616212551294,0.10079604287140134,0.010715792881889355,0.49241356188874047,0.3876079861454176,True,
Hu.CD223,4.3294877286121314e-07,0.00034839426914161066,0.00021542580977298176,0.013282563011478413,0.11600262372465323,3.3342367410186457e-06,0.0026830633214536695,0.0016590430437344668,0.10229203172256912,0.8933625276755016,True,
Hu.CD226_TX25,0.2004612002536093,0.005209258949956512,0.003120533034957033,0.11902034458468243,0.2565213398932378,0.34306005507011267,0.00891488557379513,0.005340336351703504,0.20368592982596279,0.4389987931784259,True,
Hu.CD23,0.1826224697237804,0.00013838700625264184,0.00021797430733990815,0.11970501774137574,0.22850455094842348,0.3437998077849188,0.00026052339682816844,0.00041035216027282155,0.22535322270376834,0.4301760939542119,True,
Hu.CD235a,5.475622836563642e-05,0.0004037898243932828,0.00023599232423148286,0.004854598884039288,0.251115137970084,0.0002133379424009481,0.0015732217661756382,0.0009194591807487944,0.0189141978550305,0.9783797832556441,True,
Hu.CD235ab,5.76428484055126e-07,0.0022879665575985058,0.0002512970727303583,0.010286885156109746,0.00802494827809043,2.764423125310655e-05,0.10972580010737026,0.01205165009007848,0.4933361899972508,0.3848587155740474,True,
Hu.CD24,0.0023715681546925818,0.07159096573250098,0.001713389713614678,0.005594414787421962,0.24985083144925774,0.007162236579003787,0.21620775792631244,0.00517450972541441,0.01689537032672258,0.7545601254425467,True,
Hu.CD243,0.0004976625198705528,0.0001552427986844912,0.00029333549064629896,1.7900665758393718e-05,0.2549066193193442,0.0019449761212482842,0.000606723481036162,0.0011464205200144503,6.995979416649397e-05,0.9962319200835347,True,
Hu.CD244,0.00019606427903177024,0.0022382329529865687,0.00024133456821315974,0.01050743925762988,0.009006720420606025,0.008835787358435867,0.10086768752011535,0.010875927718714557,0.47352582235061197,0.4058947750521222,True,
Hu.CD25,0.10342836339666174,7.172161045108366e-05,3.9097644269632085e-05,0.0001833206736639002,0.2758124683609324,0.2725133943183416,0.00018897233667949047,0.00010301460256995991,0.00048301391792579485,0.7267116048244832,True,
Hu.CD252,0.00045742281080376633,0.0003600573649225701,0.00018571358453456997,0.0027619411715455195,0.14361975104679894,0.0031035937488879737,0.0024429734604865566,0.0012600585419696867,0.018739649952617583,0.9744537242960383,True,
Hu.CD253,0.2527178923195245,0.00010804397291971415,0.18557527094490012,0.2379487925239252,0.2612973628470877,0.2695233862936608,0.00011522879200465759,0.1979158459195842,0.25377215573027023,0.2786733832644801,True,
