spearman,r2,rmse,prediction_observed_sd_ratio,calibration_slope,source,target,control,n_cells,n_participants,participant_id
0.7182938145270643,0.2985053062438965,0.7557627298240144,0.5338251361066817,1.0268910813234082,GSE334503,HLA-DR,cognate,5350,,HS68
0.749727106933696,0.2374098300933838,0.8586461878167301,0.5272560470251163,0.9436304583425742,GSE334503,HLA-DR,cognate,4783,,HS75
0.7956776821831759,0.2681715488433838,0.8883365878915721,0.5663013961251973,0.9424739399699094,GSE334503,HLA-DR,cognate,4613,,HS86
0.6128407183140523,0.2368640899658203,0.6783212325081379,0.5220911120632997,0.9491520188744187,GSE334503,HLA-DR,cognate,5422,,HS88
0.6873631456169282,0.25079095363616943,0.8127328832367519,0.3562387950668268,1.51981778943665,GSE334503,HLA-DR,cognate,3835,,HS93
0.6639606997987815,0.29846781492233276,0.8004264603835934,0.43385898959908004,1.2930114977151137,GSE334503,HLA-DR,cognate,5077,,HS94
0.21788655117062639,0.046869099140167236,0.5203363304294206,0.19639309022800408,1.1627753772640623,GSE334503,CD185 (CXCR5),cognate,84177,17.0,
-0.12844885825205665,-0.19766533374786377,0.6598136283616982,0.17361231529733145,-0.6412792930271349,GSE334503,CD185 (CXCR5),noncognate,84177,17.0,
0.33029550571199306,0.0808795690536499,0.5674224156856784,0.24891513347760624,1.3120874129094473,GSE334503,CD185 (CXCR5),cognate,5577,,HS10
0.19897777261032007,0.04401707649230957,0.5261557301152092,0.15982804917301757,1.3672296855134287,GSE334503,CD185 (CXCR5),cognate,5436,,HS12
0.1630789807132927,0.0022942423820495605,0.4960155124997642,0.1176846543681783,1.8866296638993472,GSE334503,CD185 (CXCR5),cognate,4385,,HS16
0.20320787134555932,0.02455270290374756,0.5170998720920267,0.26826877999344717,0.7206048941662696,GSE334503,CD185 (CXCR5),cognate,6170,,HS22
0.24465448060674716,0.061606764793395996,0.5125653202019766,0.21903433047800808,1.25443761357189,GSE334503,CD185 (CXCR5),cognate,4705,,HS24
0.20322453610243407,0.04062837362289429,0.5308649968066442,0.1656685805783965,1.329577637616724,GSE334503,CD185 (CXCR5),cognate,5100,,HS28
0.1789924543946392,0.030098378658294678,0.5427171137777346,0.1613660867005095,1.1138106355229844,GSE334503,CD185 (CXCR5),cognate,5338,,HS30
0.2027684549317843,0.04358571767807007,0.5158955702214943,0.16222067092760778,1.3578270584256367,GSE334503,CD185 (CXCR5),cognate,4821,,HS32
0.22031967055925922,0.03508913516998291,0.5167827036234461,0.20024920369699403,1.1206043531390852,GSE334503,CD185 (CXCR5),cognate,4619,,HS46
0.3585579385851519,0.09476256370544434,0.5699056715881019,0.27140707625922017,1.2365269521900195,GSE334503,CD185 (CXCR5),cognate,4185,,HS47
0.19404592555386618,0.01756995916366577,0.4978118491542702,0.15581652939522675,1.3153280883929424,GSE334503,CD185 (CXCR5),cognate,4761,,HS6
0.17309470394433507,0.018232524394989014,0.5437151218058439,0.13131757571412744,1.4618171206354977,GSE334503,CD185 (CXCR5),cognate,5350,,HS68
0.16950819132789482,0.028010547161102295,0.4862731841279904,0.20727778548167966,0.8418611660970016,GSE334503,CD185 (CXCR5),cognate,4783,,HS75
0.17456714096908743,-0.012758135795593262,0.4714177670081891,0.22057929193700604,0.8234317475254063,GSE334503,CD185 (CXCR5),cognate,4613,,HS86
0.10369123919790484,-0.02840268611907959,0.5083186341594162,0.09273079036051741,1.1529447702433264,GSE334503,CD185 (CXCR5),cognate,5422,,HS88
0.2358131910712611,0.057460904121398926,0.5257788432776136,0.19315752884763965,1.3162008834704406,GSE334503,CD185 (CXCR5),cognate,3835,,HS93
0.17545632869665015,0.0005481243133544922,0.498452189955491,0.22528995450411857,0.8062046433084892,GSE334503,CD185 (CXCR5),cognate,5077,,HS94
0.17019160407448355,-0.5475171804428101,0.5069053470073691,0.41132773425640845,0.5319624829224727,GSE334503,CD279,cognate,84177,17.0,
0.016417040247194127,-0.2690175771713257,1.486376888161986,0.12702873629940356,0.17416223177661147,GSE334503,CD279,noncognate,84177,17.0,
0.1725917680312463,-0.5142061710357666,0.4799208114043418,0.42952572496839325,0.528053905418121,GSE334503,CD279,cognate,5577,,HS10
0.10796978874153623,-0.39709389209747314,0.4995574035336839,0.23424861074394682,0.5846105753856934,GSE334503,CD279,cognate,5436,,HS12
0.22930622384756547,-0.51142418384552,0.5335596031779698,0.392764903305551,0.8394699534552361,GSE334503,CD279,cognate,4385,,HS16
0.13940620565231387,-0.5429732799530029,0.46628622430802213,0.3860050714023891,0.46537456877358396,GSE334503,CD279,cognate,6170,,HS22
0.18258263782687534,-0.93379807472229,0.519920318165547,0.6108079741723237,0.3897720017348455,GSE334503,CD279,cognate,4705,,HS24
0.16855546223749207,-0.47212326526641846,0.5663891756838516,0.3107797024472342,0.6356165373900126,GSE334503,CD279,cognate,5100,,HS28
0.15515208243621056,-0.6089709997177124,0.5254981345752451,0.3235714907456498,0.6393210862179414,GSE334503,CD279,cognate,5338,,HS30
0.15021945416230503,-0.368319034576416,0.49663053592637224,0.41454585644759906,0.4575216713687866,GSE334503,CD279,cognate,4821,,HS32
0.21630648556297072,-0.45499086380004883,0.5237470252560281,0.48229174195293983,0.5132017938832277,GSE334503,CD279,cognate,4619,,HS46
0.19365775355943687,-0.9160870313644409,0.5527056090077728,0.6593162262512836,0.3506728424830362,GSE334503,CD279,cognate,4185,,HS47
