cohort,target,pooled,within_ct_median,within_ct_min,ct_adjusted,ct_baseline,donor_median,donor_p10,donor_min,donor_n,n_cells
GSE335494,CD33,0.903203253914952,0.7803899659211049,0.7080999649739665,0.4737113722860903,0.6839838079404292,0.9161676464445052,0.7916054159025986,0.7819693010617409,10,126668
GSE335494,CD11C,0.726403129916628,0.3611957010736413,0.0827795326107733,0.1926804388430206,0.730704928874325,0.6999806871835783,0.5422966805821244,0.5366422669194013,10,126668
GSE335494,CD45RA,0.1368597483260668,0.0596654762201302,-0.1505896298966897,0.0221138764203397,0.5197069418995988,0.1221927464850792,-0.0117681390731823,-0.0118328908961514,10,126668
GSE335494,CD244_(2B4),0.7042087829467651,0.6957483922624745,0.3578760102976218,0.5046450038277365,0.5701891115793987,0.8081695317591024,0.4240059613731158,0.1521755302672644,10,126668
GSE335494,CD226_(DNAM-1),0.7571842082516614,0.7614470222057895,0.6459722637975366,0.6726766078793833,0.3702674780000822,0.8460504917009688,0.5421522413377216,0.2778429507784552,10,126668
GSE335494,CD28,0.8042762700059813,0.7373360753708981,0.70890814781902,0.6521361902489614,0.5872798709374732,0.8685619816812715,0.6826684692265087,0.476511218879289,10,126668
GSE335494,CD45,0.2306783737000189,0.1759653258120971,0.0750255797867622,0.1415999127600841,0.3153265541896467,0.2338057848940606,0.0481252023861199,-0.0501263911452367,10,126668
GSE335494,CD38,0.8576128981604976,0.7953594411730063,0.5623273053828532,0.637184332883146,0.5359600245898961,0.9191978745078584,0.6516114692092987,0.4638296052471896,10,126668
GSE335494,CD4,0.8900120549068812,0.7973588035745864,0.4892582173630159,0.5635298887322038,0.7086759444221565,0.933367208448324,0.7298685139099252,0.5534165775599584,10,126668
GSE335494,CD20,0.4405832275802375,0.1596910634413219,0.018216265119478,0.0985513854530831,0.3166507788960542,0.350054133031913,0.0074605892480802,-0.0188921292729964,10,126668
GSE335494,TIGIT,0.6267008499661906,0.6275806873931625,0.512861214094131,0.6838652204670672,0.3561133617246271,0.7350736395894859,0.5607830137277503,0.3817930867601383,10,126668
GSE335494,CD25,0.1085393309229349,0.0569885682963179,0.0114761504554592,0.0992949214494375,0.1495085627687121,0.1090369225024346,0.0645883667765646,0.0521323490346163,10,126668
