replicate,source,target,analysis_role,null,spearman,noncognate_spearman,specificity_delta,r2,calibration_slope,sd_ratio,complete_gate_pass
136,GSE335494,CD226 (DNAM-1),primary_direct,NullB,0.1203107535530269,0.00024387693608603388,0.12006687661694086,-0.8577930927276611,1.085962144064498,0.10306423585090269,False
136,GSE335494,CD28,primary_direct,NullA,0.009059814623546616,-0.000691955617045377,0.009751770240591994,-0.7359650135040283,0.015339337482172114,0.39705311523513964,False
136,GSE335494,CD28,primary_direct,NullB,0.3553242536041074,0.12147455525317284,0.23384969835093455,-0.4775804281234741,0.8348213706111302,0.39705311523513964,False
136,GSE335494,CD45,primary_direct,NullA,0.013282266264160535,0.0034212052686221433,0.009861060995538391,-13.292932510375977,0.04667620734603288,0.25655070298432603,False
136,GSE335494,CD45,primary_direct,NullB,0.07599751962507231,0.07463161790800452,0.0013659017170677967,-13.25877571105957,0.30616193910026834,0.2565507206255119,False
136,GSE335494,CD38,primary_direct,NullA,0.0020471584453343786,-0.0033763538832984777,0.005423512328632856,-0.09104788303375244,0.019179077434028042,0.1668059668879082,False
136,GSE335494,CD38,primary_direct,NullB,0.262611704287201,-0.0961462921975508,0.3587579964847518,0.0017267465591430664,1.6863356553141617,0.1668059668879082,True
136,GSE335494,CD4,primary_direct,NullA,0.0023634599665869212,-0.0027390210738145134,0.005102481040401435,-0.12604618072509766,-0.0052600096475092836,0.1969126310430455,False
136,GSE335494,CD4,primary_direct,NullB,0.32930425317364886,-0.2000712885998685,0.5293755417735173,-0.03132188320159912,1.2162122720279935,0.1969126310430455,False
136,GSE335494,CD20,primary_direct,NullA,0.008923264616505389,0.01403656098235014,-0.005113296365844752,-1.2765226364135742,0.012669450566741253,0.7577437683075642,False
136,GSE335494,CD20,primary_direct,NullB,0.40743711169195934,0.3330550740044103,0.07438203768754903,-0.45773303508758545,0.7256827594297922,0.7577437683075642,False
136,GSE335494,TIGIT (VSTM3),primary_direct,NullA,0.0019427009362609565,-0.002733432410525812,0.004676133346786768,-2.8533568382263184,-0.01504084703104771,0.12479049670588531,False
136,GSE335494,TIGIT (VSTM3),primary_direct,NullB,0.2135376116580016,-0.028900775668488126,0.24243838732648973,-2.7990128993988037,1.7298080094174442,0.12479049670588531,False
136,GSE335494,CD25,primary_direct,NullA,-1.4294850228864968e-05,-0.0011549274983774385,0.0011406326481485736,-1.1793937683105469,-0.02234026051413056,0.06804163795135734,False
136,GSE335494,CD25,primary_direct,NullB,0.12944430835351803,0.024018483494234293,0.10542582485928373,-1.1558427810668945,2.521121740252015,0.06804163795135734,False
137,GSE334503,CD21,primary_direct,NullA,-0.0001787774736758515,-0.005004792610362565,0.0048260151366867135,-0.46689045429229736,0.0054247654257292815,0.09847263880598156,False
137,GSE334503,CD21,primary_direct,NullB,0.0951393169657387,-0.028871581656455387,0.12401089862219408,-0.43871450424194336,1.4582752889568544,0.09847264552540905,False
137,GSE334503,CD57 Recombinant,sensitivity_non_direct,NullA,-0.0021078545835506017,0.002444374480026948,-0.004552229063577549,-7.560823440551758,0.0012551219798014566,0.16929854150271176,False
137,GSE334503,CD57 Recombinant,sensitivity_non_direct,NullB,0.08109697300859509,0.02793229005537569,0.0531646829532194,-7.521096229553223,0.6942578401808452,0.16929854150271176,False
137,GSE334503,CD16,sensitivity_non_direct,NullA,0.006274469511638967,-0.007580492314424662,0.01385496182606363,-0.11665022373199463,0.017993747431562127,0.32890776296500873,False
137,GSE334503,CD16,sensitivity_non_direct,NullB,0.49997051168375095,0.09586300851149525,0.4041075031722557,0.19704222679138184,1.4678532918405873,0.32890776296500873,True
137,GSE334503,HLA-DR,sensitivity_non_direct,NullA,0.0048723293964229005,-0.0038923763748554847,0.008764705771278386,-0.29161858558654785,0.001623933610719502,0.5407909474704783,False
137,GSE334503,HLA-DR,sensitivity_non_direct,NullB,0.7066010455474249,0.16096615457304375,0.5456348909743811,0.2668529152870178,0.9564237091163783,0.5407909818341161,True
137,GSE334503,CD185 (CXCR5),primary_direct,NullA,0.00744232974799982,-0.005252208861856748,0.012694538609856568,-0.04057645797729492,0.029186966513488476,0.19639309022800408,False
137,GSE334503,CD185 (CXCR5),primary_direct,NullB,0.21788655117062639,0.005201434134811386,0.212685117035815,0.046869099140167236,1.1627753772640623,0.19639309022800408,True
137,GSE334503,CD279,primary_direct,NullA,0.006625880767794251,0.005054388108293892,0.0015714926595003587,-0.721259355545044,0.018511228216680144,0.41132773425640845,False
137,GSE334503,CD279,primary_direct,NullB,0.17019160407448355,-0.016072215527511386,0.18626381960199495,-0.5475171804428101,0.5319624829224727,0.41132773425640845,False
137,GSE334503,CD194 (CCR4),primary_direct,NullA,-0.0006690743493798298,-0.0004895489112493852,-0.00017952543813044462,-0.22929465770721436,-0.0021332042602241726,0.2775063421615988,False
137,GSE334503,CD194 (CCR4),primary_direct,NullB,0.23865951259285087,-0.01102918051188244,0.24968869310473332,-0.052770376205444336,1.1439834580751553,0.2775063421615988,False
137,GSE334503,CD319 (CRACC),primary_direct,NullA,0.002676375706351264,0.00033395588154934034,0.0023424198248019235,-0.14699554443359375,0.013838508119902776,0.15002241911424605,False
137,GSE334503,CD319 (CRACC),primary_direct,NullB,0.1159461127849981,-0.017486872215709815,0.1334329850007079,-0.11524307727813721,0.7192349309229842,0.15002241911424605,False
137,GSE334503,CD155 (PVR),primary_direct,NullA,0.0008975259490375636,-0.0007268028535449952,0.001624328802582559,-0.06247222423553467,0.008651549391151647,0.1815492874045863,False
137,GSE334503,CD155 (PVR),primary_direct,NullB,0.12150445742502165,-0.024755019999670894,0.14625947742469256,-0.016959786415100098,0.699067837011138,0.1815492874045863,False
137,GSE334503,CD79b (Igβ),primary_direct,NullA,0.010708841074005628,-0.0014165288327223295,0.012125369906727957,-1.119546890258789,0.0323199676890489,0.3812642035438467,False
137,GSE334503,CD79b (Igβ),primary_direct,NullB,0.1987160933599691,-0.055099157763221905,0.253815251123191,-0.9165810346603394,0.7304571465753934,0.3812642035438467,False
137,GSE334503,CD107a (LAMP-1),primary_direct,NullA,0.00507700254060826,0.0031894800448522276,0.0018875224957560326,-0.04015040397644043,0.3419103348004423,0.02243723091719616,False
137,GSE334503,CD107a (LAMP-1),primary_direct,NullB,0.024825122023110685,-0.011193572071258312,0.036018694094368996,-0.03912198543548584,1.363517689368294,0.022437233341458425,False
137,GSE334503,CD137 (4-1BB),primary_direct,NullA,-0.00195459309054304,-0.00021782345578347107,-0.0017367696347595691,-0.23083293437957764,-0.07883044228443649,0.036198697260250046,False
137,GSE334503,CD137 (4-1BB),primary_direct,NullB,0.025180357195233132,0.010946504814057139,0.014233852381175994,-0.22842645645141602,0.8394462654964562,0.036198697260250046,False
137,GSE334503,CD223 (LAG-3),primary_direct,NullA,0.005551996521645047,0.004891059977786643,0.0006609365438584036,-2.956998586654663,0.06197219801053109,0.13752523137652498,False
137,GSE334503,CD223 (LAG-3),primary_direct,NullB,0.05159687217533295,-0.002462497750700364,0.054059369926033315,-2.942686080932617,0.4403522345481753,0.13752523137652498,False
137,GSE334503,CD314 (NKG2D),primary_direct,NullA,0.0029983865150526603,-0.000803232571935907,0.0038016190869885674,-0.13577806949615479,0.02293227846395173,0.25398502705242104,False
137,GSE334503,CD314 (NKG2D),primary_direct,NullB,0.48204100795518123,0.052116870489539203,0.429924137465642,0.06873774528503418,1.6081202032286024,0.25398502705242104,True
